id,url,createdAtISO,createdAtLocal,lang,isRetweet,retweetedBy,likes,retweets,replies,quotes,views,bookmarks,media_count,media_urls,link_urls,quoted_id,quoted_author,quoted_text,text
2061000742669066471,https://x.com/justinsuntron/status/2061000742669066471,2026-05-31T08:24:03+00:00,2026-05-31 16:24,zh,False,,354,31,204,15,70909,11,0,,,,,,这次已经全部恢复正常，衷心感谢各位同行，同仁，用户，对我们的支持！未来可能还会有零星的Case，我们还会继续保持7*24小时在线，随时响应每个用户的需求🙌
2060999643358712130,https://x.com/justinsuntron/status/2060999643358712130,2026-05-31T08:19:41+00:00,2026-05-31 16:19,zh,True,,0,8,0,0,1,0,0,,,,,,"RT @HTX_Molly: 今天还有人问我事发当天是不是24小时没睡，我说确实是，但不仅是我，孙哥也是、我们内部的安全、法务、风控的人也是。

这次用户问题能快速解决，是大家分工协作的结果，是各平台用户第一的结果。

致敬每一个把用户放在心上的人💙"
2060999446427844881,https://x.com/justinsuntron/status/2060999446427844881,2026-05-31T08:18:54+00:00,2026-05-31 16:18,zh,True,,0,19,0,0,2,0,0,,,,,,"RT @HTX_Molly: 和大家同步一下最新进展：

1️⃣ 目前已有 5 家平台陆续为正常用户完成解冻，还有几家平台也反馈正在推进相关处理。只要是正常、安全的资金，我们相信最终都会得到妥善解决，请大家放心。…"
2060564290667700337,https://x.com/justinsuntron/status/2060564290667700337,2026-05-30T03:29:44+00:00,2026-05-30 11:29,en,False,,253,31,81,11,83557,2,0,,,,,,Keep going. Buy the dip
2060422887853498840,https://x.com/justinsuntron/status/2060422887853498840,2026-05-29T18:07:51+00:00,2026-05-30 02:07,en,False,,209,25,58,8,78563,5,0,,,,,,"Having flown with Blue Origin, I’ve seen how much work and discipline goes into spaceflight. Glad everyone is safe. Respect to the team as they keep building."
2060382934411211203,https://x.com/justinsuntron/status/2060382934411211203,2026-05-29T15:29:06+00:00,2026-05-29 23:29,en,True,,0,34,0,0,40,0,0,,,,,,"RT @BNBCHAIN: Introducing Agent Survival Pack

Run AI agents that can pay for their needs and keep them operating 24/7

Start with free cre…"
2060371326318375138,https://x.com/justinsuntron/status/2060371326318375138,2026-05-29T14:42:58+00:00,2026-05-29 22:42,zh,False,,108,21,149,7,42936,1,0,,,,,,奖励继续！
2060342165054935392,https://x.com/justinsuntron/status/2060342165054935392,2026-05-29T12:47:06+00:00,2026-05-29 20:47,ja,False,,140,27,100,8,51908,3,0,,,,,,火炼真金 @HTX_Global
2060341781091566065,https://x.com/justinsuntron/status/2060341781091566065,2026-05-29T12:45:34+00:00,2026-05-29 20:45,en,True,,0,13,0,0,38,0,0,,,,,,"RT @symbiosis_fi: Opus 4.8 is here — and so is onchain @trondao.

Bridge and swap on TRON without leaving the @claudeai UI, powered by Symb…"
2060298892600824285,https://x.com/justinsuntron/status/2060298892600824285,2026-05-29T09:55:09+00:00,2026-05-29 17:55,en,False,,61,22,32,12,15379,1,0,,,,,,Opus 4.8 is live on https://t.co/nMjQcILxG5
